fid,h3,population,surface_to,Province,Commune,CodeProv,CodeCom,pop_24,surf_comm,id,surface_in,pop_corr,Arrêts,classifica,long,lat
21764,8839a864adfffff,13,793912.503,Rabat,Hassan,421,5,92454,112600.6317,node/21141275,112600.6317,2,0,Non desservi,-6.84752945,34.02832009
21767,8839a864a5fffff,14618,793860.007,Rabat,Agdal Riyad,421,1,70435,13676.56139,node/21141275,13676.56139,252,0,Non desservi,-6.84240562,34.01960964
21767,8839a864a5fffff,14618,793860.007,Rabat,Hassan,421,5,92454,780183.4642,node/21141275,780183.4642,14366,8,Bien desservi,-6.84664252,34.02264984
21769,8839a864a1fffff,2672,793813.865,Rabat,Hassan,421,5,92454,684958.3387,node/21141275,495993.8259,1670,3,Modérément desservi,-6.84166787,34.02850815
6063,8839ab916bfffff,30124,793280.003,Salé,Bettana,441,5,76233,307331.7124,node/21141275,307331.7124,11671,4,Modérément desservi,-6.78223167,34.04534343
6063,8839ab916bfffff,30124,793280.003,Salé,Tabriquet,441,9,237385,485948.2913,node/21141275,485948.2913,18453,11,Bien desservi,-6.78219765,34.04864271
6064,8839ab9169fffff,23352,793378.838,Salé,Bettana,441,5,76233,112151.2235,node/21141275,112151.2235,3301,3,Modérément desservi,-6.79080359,34.04553997
6064,8839ab9169fffff,23352,793378.838,Salé,Tabriquet,441,9,237385,681227.6276,node/21141275,681227.6276,20051,9,Bien desservi,-6.79239611,34.04900739
6068,8839ab9161fffff,25812,793326.372,Salé,Bettana,441,5,76233,793326.3722,node/21141275,793326.3722,25812,7,Bien desservi,-6.78823734,34.04069737
6080,8839ab9145fffff,31324,793332.435,Salé,Tabriquet,441,9,237385,793332.435,node/21141275,793332.435,31324,9,Bien desservi,-6.78648656,34.05582507
21731,8839a865bdfffff,10380,793991.387,Rabat,Agdal Riyad,421,1,70435,681621.3109,node/21141275,681621.3109,8911,7,Bien desservi,-6.8658925,33.98494968
21731,8839a865bdfffff,10380,793991.387,Rabat,Yacoub El Mansour,421,9,168391,112370.0675,node/21141275,112370.0675,1469,3,Modérément desservi,-6.8702318,33.98676351
21735,8839a865b5fffff,1089,793938.661,Rabat,Agdal Riyad,421,1,70435,591537.1925,node/21141275,591537.1925,811,2,Modérément desservi,-6.86226551,33.97871968
21735,8839a865b5fffff,1089,793938.661,Rabat,Souissi,421,6,21049,202401.483,node/21141275,197113.3642,270,1,Peu desservi,-6.85851187,33.97599141
21737,8839a865b1fffff,2949,793892.789,Rabat,Agdal Riyad,421,1,70435,786710.7135,node/21141275,786710.7135,2922,12,Bien desservi,-6.8560987,33.98491051
21737,8839a865b1fffff,2949,793892.789,Rabat,Souissi,421,6,21049,7182.095792,node/21141275,7182.095792,27,0,Non desservi,-6.85434537,33.98098219
21743,8839a865a3fffff,11274,794037.24,Rabat,Agdal Riyad,421,1,70435,640752.216,node/21141275,640752.216,9098,4,Modérément desservi,-6.87118875,33.97860188
21743,8839a865a3fffff,11274,794037.24,Rabat,Yacoub El Mansour,421,9,168391,153285.0275,node/21141275,153285.0275,2176,3,Modérément desservi,-6.87545403,33.98055987
21733,8839a865b9fffff,5399,793945.483,Rabat,Agdal Riyad,421,1,70435,731263.4188,node/21141275,731263.4188,4973,10,Bien desservi,-6.85999769,33.99288425
21733,8839a865b9fffff,5399,793945.483,Rabat,Yacoub El Mansour,421,9,168391,62682.04561,node/21141275,62682.04561,426,1,Peu desservi,-6.86464726,33.9940269
21732,8839a865bbfffff,5846,793846.866,Rabat,Agdal Riyad,421,1,70435,793846.8662,node/21141275,793846.8662,5846,13,Bien desservi,-6.85015596,33.99208384
21748,8839a86597fffff,5984,793800.892,Rabat,Agdal Riyad,421,1,70435,715430.3293,node/21141275,715430.3293,5393,12,Bien desservi,-6.84480784,33.9993516
21748,8839a86597fffff,5984,793800.892,Rabat,Touarga,421,7,5703,78370.54881,node/21141275,78370.54881,591,0,Non desservi,-6.84006556,34.00043674
21749,8839a86595fffff,9270,793899.527,Rabat,Agdal Riyad,421,1,70435,793777.2955,node/21141275,793777.2955,9269,12,Bien desservi,-6.85436085,34.00004274
21749,8839a86595fffff,9270,793899.527,Rabat,Hassan,421,5,92454,106.5275521,node/21141275,106.5275521,1,0,Non desservi,-6.85912815,34.00287626
21749,8839a86595fffff,9270,793899.527,Rabat,Yacoub El Mansour,421,9,168391,15.7025945,node/21141275,15.7025945,0,0,Non desservi,-6.85916447,34.00273238
5624,8839ab9a69fffff,271,793702.221,Rabat,Agdal Riyad,421,1,70435,93028.34881,node/21141275,70720.17793,24,0,Non desservi,-6.83789857,33.99741655
5624,8839ab9a69fffff,271,793702.221,Rabat,Souissi,421,6,21049,494509.1631,node/21141275,404821.4946,138,0,Non desservi,-6.83090093,33.9978551
5624,8839ab9a69fffff,271,793702.221,Rabat,Touarga,421,7,5703,206164.7063,node/21141275,33813.86097,12,0,Non desservi,-6.83233489,34.00197874
21750,8839a86593fffff,2461,793754.867,Rabat,Agdal Riyad,421,1,70435,399584.9196,node/21141275,399584.9196,1239,5,Modérément desservi,-6.83993077,34.00719691
21750,8839a86593fffff,2461,793754.867,Rabat,Touarga,421,7,5703,394169.9549,node/21141275,220547.4824,684,0,Non desservi,-6.83695362,34.00616042
21751,8839a86591fffff,5983,793853.52,Rabat,Agdal Riyad,421,1,70435,792091.5139,node/21141275,792091.5139,5970,7,Bien desservi,-6.84841693,34.0072157
21751,8839a86591fffff,5983,793853.52,Rabat,Hassan,421,5,92454,1761.997458,node/21141275,1761.997458,13,0,Non desservi,-6.85306234,34.00998608
5636,8839ab9a4dfffff,10848,793708.79,Rabat,Agdal Riyad,421,1,70435,5688.235986,node/21141275,5688.235986,78,0,Non desservi,-6.83745271,34.01225256
5636,8839ab9a4dfffff,10848,793708.79,Rabat,Hassan,421,5,92454,595375.3631,node/21141275,595375.3631,8137,9,Bien desservi,-6.83221466,34.01454251
5636,8839ab9a4dfffff,10848,793708.79,Rabat,Touarga,421,7,5703,192645.2149,node/21141275,192645.2149,2633,2,Modérément desservi,-6.83381227,34.01082677
5637,8839ab9a4bfffff,1297,793563.936,Rabat,El Youssoufia,421,3,157587,231238.9195,node/21141275,42365.12522,69,0,Non desservi,-6.81979779,34.01770834
5637,8839ab9a4bfffff,1297,793563.936,Rabat,Hassan,421,5,92454,562325.0226,node/21141275,155877.2548,255,0,Non desservi,-6.82048136,34.02051273
5638,8839ab9a49fffff,15453,793662.662,Rabat,Hassan,421,5,92454,793662.6617,node/21141275,793662.6617,15453,18,Très bien desservi,-6.82637733,34.02077147
5641,8839ab9a41fffff,4317,793610.082,Rabat,El Youssoufia,421,3,157587,301523.5734,node/21141275,69490.70822,378,0,Non desservi,-6.81981132,34.01592443
5641,8839ab9a41fffff,4317,793610.082,Rabat,Hassan,421,5,92454,492086.5145,node/21141275,470852.0678,2561,3,Modérément desservi,-6.82375809,34.01314446
21766,8839a864a7fffff,9646,793761.352,Rabat,Agdal Riyad,421,1,70435,52961.96547,node/21141275,52961.96547,644,6,Modérément desservi,-6.84078567,34.01984448
21766,8839a864a7fffff,9646,793761.352,Rabat,Hassan,421,5,92454,740799.4009,node/21141275,740799.4009,9002,15,Très bien desservi,-6.83642117,34.02247746
21757,8839a864bdfffff,14301,793668.979,Salé,Bab Lamrissa,441,3,167319,793668.9792,node/21141275,369295.9964,6654,0,Non desservi,-6.82120757,34.0359885
21758,8839a864bbfffff,17479,793523.97,Salé,Bab Lamrissa,441,3,167319,45935.45588,node/21141275,45935.45588,1012,0,Non desservi,-6.81282351,34.04410911
21758,8839a864bbfffff,17479,793523.97,Salé,Tabriquet,441,9,237385,747588.4938,node/21141275,747588.4938,16467,13,Bien desservi,-6.80824987,34.0426536
21759,8839a864b9fffff,14892,793622.716,Salé,Bab Lamrissa,441,3,167319,790013.7389,node/21141275,790013.7389,14824,14,Bien desservi,-6.81865829,34.04331057
21759,8839a864b9fffff,14892,793622.716,Salé,Tabriquet,441,9,237385,3608.985855,node/21141275,3608.985855,68,0,Non desservi,-6.81402177,34.04053653
21763,8839a864b1fffff,10189,793570.252,Salé,Bab Lamrissa,441,3,167319,257426.2451,node/21141275,257426.2451,3305,8,Bien desservi,-6.81810855,34.0349506
21763,8839a864b1fffff,10189,793570.252,Salé,Bettana,441,5,76233,288799.2667,node/21141275,288799.2667,3708,2,Modérément desservi,-6.812913,34.03289704
21763,8839a864b1fffff,10189,793570.252,Salé,Tabriquet,441,9,237385,247344.7371,node/21141275,247344.7371,3176,4,Modérément desservi,-6.8126372,34.03754742
21773,8839a86497fffff,22246,793477.637,Salé,Bab Lamrissa,441,3,167319,46783.81537,node/21141275,46783.81537,1312,1,Peu desservi,-6.8065194,34.05189623
21773,8839a86497fffff,22246,793477.637,Salé,Tabriquet,441,9,237385,746693.8011,node/21141275,746693.8011,20934,12,Bien desservi,-6.80253456,34.04950984
21775,8839a86493fffff,17763,793431.253,Salé,Bab Lamrissa,441,3,167319,46895.15305,node/21141275,46895.15305,1050,0,Non desservi,-6.80062038,34.0589747
21775,8839a86493fffff,17763,793431.253,Salé,Tabriquet,441,9,237385,746536.079,node/21141275,746536.079,16713,10,Bien desservi,-6.79657669,34.05665741
6062,8839ab916dfffff,31048,793425.189,Salé,Bettana,441,5,76233,265683.5695,node/21141275,265683.5695,10397,5,Modérément desservi,-6.79516566,34.04059709
6062,8839ab916dfffff,31048,793425.189,Salé,Tabriquet,441,9,237385,527741.6223,node/21141275,527741.6223,20651,2,Modérément desservi,-6.79968925,34.04191616
21774,8839a86495fffff,15386,793576.401,Salé,Bab Lamrissa,441,3,167319,769799.1364,node/21141275,769799.1364,14925,7,Bien desservi,-6.81266403,34.05087608
21774,8839a86495fffff,15386,793576.401,Salé,Tabriquet,441,9,237385,23777.2857,node/21141275,23777.2857,461,0,Non desservi,-6.80855504,34.04768137
21761,8839a864b5fffff,4206,793616.482,Rabat,Hassan,421,5,92454,408943.114,node/21141275,406719.0699,2156,2,Modérément desservi,-6.820511,34.02559868
21761,8839a864b5fffff,4206,793616.482,Salé,Bab Lamrissa,441,3,167319,384538.7172,node/21141275,372548.9442,1974,2,Modérément desservi,-6.82002313,34.03043805
21761,8839a864b5fffff,4206,793616.482,Salé,Bettana,441,5,76233,134.6487927,node/21141275,134.6487927,1,0,Non desservi,-6.81511261,34.03004155
21768,8839a864a3fffff,4027,793715.191,Rabat,Hassan,421,5,92454,550520.0143,node/21141275,386841.0464,1963,1,Peu desservi,-6.83052481,34.02620943
21768,8839a864a3fffff,4027,793715.191,Salé,Bab Lamrissa,441,3,167319,239211.0654,node/21141275,46321.06275,235,0,Non desservi,-6.82720709,34.02904157
21760,8839a864b7fffff,15394,793517.738,Rabat,Hassan,421,5,92454,252217.6887,node/21141275,251674.6561,4882,0,Non desservi,-6.81235376,34.02509308
21760,8839a864b7fffff,15394,793517.738,Salé,Bab Lamrissa,441,3,167319,136086.7065,node/21141275,136086.7065,2640,4,Modérément desservi,-6.8108459,34.02666288
21760,8839a864b7fffff,15394,793517.738,Salé,Bettana,441,5,76233,405213.3595,node/21141275,405213.3595,7861,0,Non desservi,-6.80928832,34.02869698
21762,8839a864b3fffff,24396,793471.489,Salé,Bettana,441,5,76233,549345.3011,node/21141275,549345.3011,16890,8,Bien desservi,-6.80442025,34.03357671
21762,8839a864b3fffff,24396,793471.489,Salé,Tabriquet,441,9,237385,244126.1701,node/21141275,244126.1701,7506,5,Modérément desservi,-6.80512264,34.03717356
21730,8839a865d3fffff,692,793958.627,Rabat,Hassan,421,5,92454,181006.9425,node/21141275,167362.0192,146,0,Non desservi,-6.85324978,34.02158404
21746,8839a8659bfffff,7586,793807.462,Rabat,Agdal Riyad,421,1,70435,702043.315,node/21141275,702043.315,6709,10,Bien desservi,-6.84276469,34.01439191
21746,8839a8659bfffff,7586,793807.462,Rabat,Hassan,421,5,92454,91764.11417,node/21141275,91764.11417,877,2,Modérément desservi,-6.8466194,34.01629923
21747,8839a86599fffff,12497,793906.098,Rabat,Agdal Riyad,421,1,70435,45187.24756,node/21141275,45187.24756,711,3,Modérément desservi,-6.84878213,34.01248156
21747,8839a86599fffff,12497,793906.098,Rabat,Hassan,421,5,92454,748718.8609,node/21141275,748718.8609,11786,7,Bien desservi,-6.8525541,34.01576924
5631,8839ab9a59fffff,9671,793418.958,Salé,Bab Lamrissa,441,3,167319,65406.67407,node/21141275,65406.67407,797,0,Non desservi,-6.80290526,34.02342248
5631,8839ab9a59fffff,9671,793418.958,Salé,Bettana,441,5,76233,728012.2835,node/21141275,725090.4984,8838,6,Modérément desservi,-6.80015295,34.02619912
6066,8839ab9165fffff,12114,793372.691,Salé,Bettana,441,5,76233,793372.6906,node/21141275,770183.7228,11760,9,Bien desservi,-6.79418616,34.03352957
21729,8839a865d7fffff,700,794004.699,Rabat,Hassan,421,5,92454,282052.8439,node/21141275,248242.9304,219,0,Non desservi,-6.859743,34.01472963
21745,8839a8659dfffff,7342,793952.138,Rabat,Agdal Riyad,421,1,70435,122778.9395,node/21141275,122778.9395,1135,2,Modérément desservi,-6.85515936,34.00592528
21745,8839a8659dfffff,7342,793952.138,Rabat,Hassan,421,5,92454,669444.9163,node/21141275,669444.9163,6191,10,Bien desservi,-6.85926771,34.00780211
21745,8839a8659dfffff,7342,793952.138,Rabat,Yacoub El Mansour,421,9,168391,1728.300035,node/21141275,1728.300035,16,0,Non desservi,-6.86301787,34.00535858
21752,8839a8658bfffff,883,794050.721,Rabat,Hassan,421,5,92454,140613.6119,node/21141275,140613.6119,156,1,Peu desservi,-6.8655233,34.00888139
21752,8839a8658bfffff,883,794050.721,Rabat,Yacoub El Mansour,421,9,168391,177035.7535,node/21141275,177035.7535,197,3,Modérément desservi,-6.86709006,34.00624256
21390,8839a86f3dfffff,1,795316.009,Skhirate- Témara,Skhirate,501,5,122705,149963.5733,node/21141275,149369.3087,0,0,Non desservi,-7.01671422,33.88861683
21392,8839a86f37fffff,228,795164.839,Skhirate- Témara,Skhirate,501,5,122705,795164.8391,node/21141275,25455.88707,7,0,Non desservi,-7.01001221,33.88452001
21393,8839a86f35fffff,781,795262.943,Skhirate- Témara,Skhirate,501,5,122705,795262.9427,node/21141275,603938.4473,593,2,Modérément desservi,-7.01641276,33.88350479
21395,8839a86f31fffff,383,795217.923,Skhirate- Témara,Skhirate,501,5,122705,700395.2444,node/21141275,465923.23,224,2,Modérément desservi,-7.01148606,33.88862984
5615,8839ab9a8dfffff,18141,792812.587,Salé,Hssaine,441,6,234326,792812.5874,node/21141275,709259.773,16229,4,Modérément desservi,-6.74269382,33.99213868
5617,8839ab9a89fffff,36625,792766.378,Salé,Hssaine,441,6,234326,792766.3782,node/21141275,702841.3156,32471,7,Bien desservi,-6.73785022,33.99860743
5619,8839ab9a85fffff,2949,792759.739,Salé,Hssaine,441,6,234326,792759.7388,node/21141275,732432.3717,2725,4,Modérément desservi,-6.73919471,33.98376391
5621,8839ab9a81fffff,36622,792713.562,Salé,Hssaine,441,6,234326,792713.5624,node/21141275,745946.6918,34461,10,Bien desservi,-6.73261054,33.99088086
21403,8839a86ee3fffff,827,794560.981,Rabat,Yacoub El Mansour,421,9,168391,96468.11352,node/21141275,96468.11352,100,1,Peu desservi,-6.92874412,33.94611498
21403,8839a86ee3fffff,827,794560.981,Skhirate- Témara,Harhoura,501,3,20950,605766.5875,node/21141275,595409.0721,620,3,Modérément desservi,-6.93297419,33.94473226
21429,8839a86e8dfffff,597,794515.441,Rabat,Yacoub El Mansour,421,9,168391,300946.2295,node/21141275,296424.0441,223,1,Peu desservi,-6.92368992,33.9509774
21429,8839a86e8dfffff,597,794515.441,Skhirate- Témara,Harhoura,501,3,20950,355883.6373,node/21141275,354670.3314,266,1,Peu desservi,-6.92761135,33.95229967
21433,8839a86e85fffff,10,794462.602,Rabat,Yacoub El Mansour,421,9,168391,738039.9828,node/21141275,111764.8014,1,0,Non desservi,-6.92553252,33.94614302
21433,8839a86e85fffff,10,794462.602,Skhirate- Témara,Harhoura,501,3,20950,20080.58776,node/21141275,2354.938397,0,0,Non desservi,-6.92731468,33.94290373
21588,8839a86c47fffff,1407,794886.16,Skhirate- Témara,Harhoura,501,3,20950,724911.1329,node/21141275,394548.2198,698,0,Non desservi,-6.97411658,33.91070973
21589,8839a86c45fffff,128,794984.375,Skhirate- Témara,Harhoura,501,3,20950,536225.3126,node/21141275,533198.6814,86,4,Modérément desservi,-6.98243913,33.90934776
21590,8839a86c43fffff,1156,794840.896,Skhirate- Témara,Harhoura,501,3,20950,794840.8962,node/21141275,690884.8899,1005,4,Modérément desservi,-6.96609331,33.91809282
21591,8839a86c41fffff,376,794939.13,Skhirate- Témara,Harhoura,501,3,20950,391706.5945,node/21141275,359292.2824,170,2,Modérément desservi,-6.97561378,33.91618395
21531,8839a86cedfffff,1171,794386.717,Skhirate- Témara,Témara,501,7,297098,794386.7166,node/21141275,743090.9977,1095,4,Modérément desservi,-6.92246384,33.89096362
21533,8839a86ce9fffff,4935,794341.444,Skhirate- Témara,Témara,501,7,297098,794341.4437,node/21141275,522651.3797,3247,2,Modérément desservi,-6.91891753,33.89821141
21609,8839a86c17fffff,13497,794439.855,Skhirate- Témara,Témara,501,7,297098,794439.8547,node/21141275,788480.7561,13396,7,Bien desservi,-6.92737577,33.89857448
21611,8839a86c13fffff,19016,794394.549,Skhirate- Témara,Témara,501,7,297098,794394.5489,node/21141275,788572.1101,18877,16,Très bien desservi,-6.92141814,33.90596638
21612,8839a86c11fffff,12308,794492.943,Skhirate- Témara,Témara,501,7,297098,794492.9428,node/21141275,647722.5941,10034,4,Modérément desservi,-6.93253159,33.90781081
21734,8839a865b7fffff,637,793840.045,Rabat,Agdal Riyad,421,1,70435,10589.34433,node/21141275,10589.34433,8,0,Non desservi,-6.85256095,33.98134011
21734,8839a865b7fffff,637,793840.045,Rabat,Souissi,421,6,21049,783250.6799,node/21141275,256487.6597,206,0,Non desservi,-6.85186205,33.97945295
21736,8839a865b3fffff,1017,793794.155,Rabat,Agdal Riyad,421,1,70435,213383.0985,node/21141275,213383.0985,273,2,Modérément desservi,-6.84911892,33.98548802
21736,8839a865b3fffff,1017,793794.155,Rabat,Souissi,421,6,21049,580411.0433,node/21141275,534312.2299,685,3,Modérément desservi,-6.84492395,33.9839615
21484,8839a86d69fffff,8962,795344.477,Skhirate- Témara,Skhirate,501,5,122705,795344.477,node/21141275,527236.5609,5941,4,Modérément desservi,-7.02981715,33.85411012
21714,8839a86897fffff,6895,795442.505,Skhirate- Témara,Skhirate,501,5,122705,795442.5052,node/21141275,775497.6142,6722,5,Modérément desservi,-7.03965135,33.85377834
21716,8839a86893fffff,522,795397.692,Skhirate- Témara,Skhirate,501,5,122705,795397.6921,node/21141275,273744.0494,180,0,Non desservi,-7.03143086,33.85898676
21717,8839a86891fffff,132,795495.703,Skhirate- Témara,Skhirate,501,5,122705,795495.703,node/21141275,363477.3141,60,2,Modérément desservi,-7.04547565,33.863349
5544,8839ab9b53fffff,1305,793589.88,Rabat,El Youssoufia,421,3,157587,38042.3619,node/21141275,14712.55316,24,0,Non desservi,-6.82334602,33.96935024
5544,8839ab9b53fffff,1305,793589.88,Rabat,Souissi,421,6,21049,755547.5048,node/21141275,729516.1254,1200,2,Modérément desservi,-6.82783935,33.96768948
5649,8839ab9a2dfffff,17863,793543.986,Rabat,El Youssoufia,421,3,157587,694933.9992,node/21141275,694933.9992,15643,8,Bien desservi,-6.82066092,33.97450209
5649,8839ab9a2dfffff,17863,793543.986,Rabat,Souissi,421,6,21049,98609.99252,node/21141275,98609.99252,2220,0,Non desservi,-6.82576575,33.97422591
5653,8839ab9a25fffff,5539,793491.141,Rabat,El Youssoufia,421,3,157587,200731.7983,node/21141275,54106.59012,378,0,Non desservi,-6.81832914,33.97043393
5653,8839ab9a25fffff,5539,793491.141,Rabat,Souissi,421,6,21049,592759.3311,node/21141275,13977.1568,98,0,Non desservi,-6.81618509,33.97043393
5655,8839ab9a21fffff,5518,793445.228,Rabat,El Youssoufia,421,3,157587,315841.3605,node/21141275,264450.7207,1839,0,Non desservi,-6.81417474,33.97487992
5655,8839ab9a21fffff,5518,793445.228,Rabat,Souissi,421,6,21049,477603.8613,node/21141275,25118.32412,175,0,Non desservi,-6.81386111,33.97201006
21419,8839a86ea5fffff,24364,794500.609,Skhirate- Témara,Témara,501,7,297098,794500.6094,node/21141275,794338.9969,24359,7,Bien desservi,-6.92980237,33.9221992
21585,8839a86c53fffff,8300,794598.969,Skhirate- Témara,Témara,501,7,297098,613549.0944,node/21141275,80279.37171,839,0,Non desservi,-6.93570122,33.92372246
21607,8839a86c1bfffff,16201,794447.604,Skhirate- Témara,Témara,501,7,297098,794447.6041,node/21141275,748665.7147,15267,4,Modérément desservi,-6.92562797,33.91392287
21608,8839a86c19fffff,6552,794545.981,Skhirate- Témara,Témara,501,7,297098,794545.9809,node/21141275,482902.9414,3982,0,Non desservi,-6.93303807,33.9146867
5974,8839ab9337fffff,2206,793192.921,Salé,Layayda,441,7,229838,793192.9205,node/21141275,793192.8476,2206,13,Bien desservi,-6.7686123,34.0774932
5976,8839ab9333fffff,1367,793146.313,Salé,Layayda,441,7,229838,510447.4623,node/21141275,83972.64442,145,0,Non desservi,-6.76510638,34.08125347
5977,8839ab9331fffff,4681,793245.205,Salé,Layayda,441,7,229838,793245.2045,node/21141275,792022.4099,4674,9,Bien desservi,-6.77283047,34.08528514
6071,8839ab9159fffff,2322,793094.012,Salé,Layayda,441,7,229838,793094.0124,node/21141275,691491.383,2025,2,Modérément desservi,-6.75853371,34.07607992
21408,8839a86ebdfffff,11436,794311.279,Skhirate- Témara,Témara,501,7,297098,794311.2792,node/21141275,792681.2494,11413,6,Modérément desservi,-6.90794169,33.93440805
21411,8839a86eb7fffff,26345,794159.837,Skhirate- Témara,Témara,501,7,297098,794159.8369,node/21141275,794159.8369,26345,12,Bien desservi,-6.89346915,33.92672418
21412,8839a86eb5fffff,23885,794258.323,Skhirate- Témara,Témara,501,7,297098,794258.3225,node/21141275,794258.3225,23885,14,Bien desservi,-6.90361296,33.9275034
21414,8839a86eb1fffff,23998,794212.811,Skhirate- Témara,Témara,501,7,297098,794212.8108,node/21141275,779190.8701,23544,7,Bien desservi,-6.89636032,33.93465167
21420,8839a86ea3fffff,3658,794356.772,Skhirate- Témara,Témara,501,7,297098,794356.7723,node/21141275,794269.8861,3658,7,Bien desservi,-6.9137578,33.92828186
21545,8839a86ccbfffff,20320,794205.316,Skhirate- Témara,Témara,501,7,297098,794205.3159,node/21141275,794084.7905,20317,5,Modérément desservi,-6.89940533,33.91954651
21546,8839a86cc9fffff,20830,794303.783,Skhirate- Témara,Témara,501,7,297098,794303.7828,node/21141275,794303.7828,20830,6,Modérément desservi,-6.90954879,33.92032496
5534,8839ab9b6bfffff,1816,793924.515,Rabat,Agdal Riyad,421,1,70435,793924.5148,node/21141275,510334.8554,1167,4,Modérément desservi,-6.86661559,33.94813051
5549,8839ab9b47fffff,2141,793878.812,Rabat,Agdal Riyad,421,1,70435,793878.8117,node/21141275,670258.1226,1808,6,Modérément desservi,-6.85976395,33.95491896
5550,8839ab9b45fffff,8000,793977.407,Rabat,Agdal Riyad,421,1,70435,793977.4071,node/21141275,793977.4071,8000,6,Modérément desservi,-6.86971674,33.95542921
5552,8839ab9b41fffff,3805,793931.671,Rabat,Agdal Riyad,421,1,70435,793931.6712,node/21141275,523811.8095,2510,0,Non desservi,-6.86005381,33.96255986
5546,8839ab9b4dfffff,2804,794030.25,Rabat,Agdal Riyad,421,1,70435,794030.2495,node/21141275,794030.2495,2804,9,Bien desservi,-6.87392231,33.96338711
21427,8839a86e93fffff,3659,794075.967,Rabat,Agdal Riyad,421,1,70435,794075.967,node/21141275,792703.0226,3653,8,Bien desservi,-6.87994057,33.95552509
5535,8839ab9b69fffff,2039,794023.092,Rabat,Agdal Riyad,421,1,70435,794023.0917,node/21141275,527210.7524,1354,0,Non desservi,-6.87288141,33.94917437
5538,8839ab9b61fffff,303,793970.167,Rabat,Agdal Riyad,421,1,70435,793970.1665,node/21141275,19362.06609,7,0,Non desservi,-6.87063909,33.94454624
5622,8839ab9a6dfffff,3990,793748.214,Rabat,Agdal Riyad,421,1,70435,335476.2277,node/21141275,335476.2277,1686,2,Modérément desservi,-6.84247889,33.99206044
5622,8839ab9a6dfffff,3990,793748.214,Rabat,Souissi,421,6,21049,458271.9849,node/21141275,311886.6667,1568,2,Modérément desservi,-6.83762145,33.99155163
21413,8839a86eb3fffff,2970,794114.307,Skhirate- Témara,Témara,501,7,297098,794114.3066,node/21141275,784411.2366,2934,9,Bien desservi,-6.8875322,33.93390129
21540,8839a86cd9fffff,4438,794061.316,Skhirate- Témara,Témara,501,7,297098,794061.3157,node/21141275,406158.384,2270,0,Non desservi,-6.88604495,33.92570586
21535,8839a86ce5fffff,732,794333.529,Skhirate- Témara,Témara,501,7,297098,417070.922,node/21141275,381579.9393,352,2,Modérément desservi,-6.92052366,33.88397896
